url_length,num_dots,num_hyphens,num_digits,num_special_chars,has_https,has_ip,brand_similarity,NoOfExternalRef,LineOfCode,HasSocialNet,IsResponsive,NoOfiFrame,label
13,1,0,0,0,1,0,0.3333333333333333,0,257,0,1,0,1
19,1,0,0,0,1,0,0.375,30,108,1,1,0,1
14,1,0,0,0,1,0,0.5454545454545454,18,68,0,1,0,1
16,1,0,0,0,1,0,0.4,22,251,0,1,0,1
18,1,0,0,0,1,0,0.46153846153846156,46,374,1,1,0,1
17,1,0,0,0,1,0,0.4444444444444444,22,2766,1,1,0,1
14,1,0,1,0,1,0,0.2222222222222222,2,516,0,1,0,1
15,1,0,0,0,1,0,0.36363636363636365,28,24739,1,1,0,1
26,1,0,0,0,1,0,0.43478260869565216,87,2101,1,1,1,1
23,1,0,0,0,1,0,0.42105263157894735,13,570,1,1,0,1
18,1,0,0,0,1,0,0.5,158,1286,1,1,0,1
27,1,0,0,0,1,0,0.38095238095238093,27,831,1,1,0,1
17,1,0,0,0,1,0,0.46153846153846156,16,847,1,1,1,1
19,1,0,0,0,1,0,0.5333333333333333,14,1438,1,1,1,1
18,1,0,0,0,1,0,0.42857142857142855,67,202,1,1,0,1
15,1,0,0,0,1,0,0.36363636363636365,5,689,1,1,0,1
16,1,0,0,0,1,0,0.3333333333333333,10,163,0,1,0,1
19,1,0,0,0,1,0,0.5333333333333333,14,12,1,1,0,1
15,1,0,0,0,1,0,0.4,4,971,1,1,0,1
19,1,1,0,0,1,0,0.5,40,148,1,1,0,1
16,1,0,0,0,1,0,0.36363636363636365,15,289,0,1,1,1
17,1,0,0,0,1,0,0.4,22,746,1,1,0,1
15,1,0,0,0,1,0,0.5,5,695,1,1,1,1
18,1,0,0,0,1,0,0.5454545454545454,15,285,1,1,1,1
17,1,0,0,0,1,0,0.4,4,146,0,1,0,1
17,2,0,0,0,1,0,0.4,38,15,0,1,0,1
12,1,0,0,0,1,0,0.25,13,50,0,0,0,1
16,1,0,0,0,1,0,0.46153846153846156,9,1112,1,1,3,1
18,1,0,0,0,1,0,0.4,52,5039,1,1,1,1
19,1,0,0,0,1,0,0.375,0,257,0,1,0,1
23,1,0,0,0,1,0,0.38095238095238093,7,2847,1,1,0,1
19,1,0,0,0,1,0,0.35294117647058826,11,1769,1,1,0,1
20,1,0,0,0,1,0,0.4,6,1513,1,1,2,1
19,1,0,0,0,1,0,0.4,24,2247,1,1,1,1
20,1,0,0,0,1,0,0.5882352941176471,1,284,0,1,0,1
17,1,0,0,0,1,0,0.42857142857142855,11,3304,1,1,0,1
21,1,0,0,0,1,0,0.5882352941176471,16,190,0,1,0,1
19,1,0,0,0,1,0,0.375,17,7749,1,1,0,1
18,1,0,0,0,1,0,0.36363636363636365,13,96,0,1,0,1
15,1,0,0,0,1,0,0.3076923076923077,12,2315,1,1,1,1
29,1,0,0,0,1,0,0.4,2,352,0,1,1,1
21,1,0,0,0,1,0,0.42857142857142855,10,511,0,1,0,1
17,1,0,0,0,1,0,0.5714285714285714,4,147,1,1,0,1
18,1,0,0,0,1,0,0.5714285714285714,18,1669,1,1,0,1
